rule_name	source	tailoring_class	retro_SMARTS	forward_SMARTS	priority_confidence	streptomycetaceae	n_examples	notes
mite_rdchiral_0010_MITE0000123	MITE_rdchiral	Acetylation	[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]>>[C:1]-[OH;D1;+0:2]	[C:1]-[OH;D1;+0:2]>>[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]		Y	4	enzymes=JuiM;THAA2;Ple2; accessions=MITE0000123;MITE0000132;MITE0000177
mite_rdchiral_0026_MITE0000232	MITE_rdchiral	Acetylation	[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]>>[C:1]-[NH2;D1;+0:2]	[C:1]-[NH2;D1;+0:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]		N	2	enzymes=GelT; accessions=MITE0000232
mite_rdchiral_0084_MITE0000445	MITE_rdchiral	Acetylation	[#7:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]>>[#7:1]-[OH;D1;+0:2]	[#7:1]-[OH;D1;+0:2]>>[#7:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]		N	1	enzymes=NanB; accessions=MITE0000445
mite_rdchiral_0127_MITE0000122	MITE_rdchiral	Acetylation	[C:1]-[N;H0;D3;+0:2](-[O;D1;H1:3])-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]>>[C:1]-[NH;D2;+0:2]-[O;D1;H1:3]	[C:1]-[NH;D2;+0:2]-[O;D1;H1:3]>>[C:1]-[N;H0;D3;+0:2](-[O;D1;H1:3])-[C;H0;D3;+0](-[C;H3;D1;+0])=[O;H0;D1;+0]		Y	1	enzymes=AbmA; accessions=MITE0000122
mite_rdchiral_0144_MITE0000136	MITE_rdchiral	Acetylation	[C;H3;D1;+0]-[C;H0;D3;+0](=[O;H0;D1;+0])-[O;H0;D2;+0:4]-[C:3]-[C:2]=[O;D1;H0:1]>>[O;D1;H0:1]=[C:2]-[C:3]-[OH;D1;+0:4]	[O;D1;H0:1]=[C:2]-[C:3]-[OH;D1;+0:4]>>[C;H3;D1;+0]-[C;H0;D3;+0](=[O;H0;D1;+0])-[O;H0;D2;+0:4]-[C:3]-[C:2]=[O;D1;H0:1]		N	1	enzymes=THAA1; accessions=MITE0000136
mite_rdchiral_0312_MITE0000145	MITE_rdchiral	Acetylation	[CH3;D1;+0:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])/[N;H0;D2;+0:4]=[C;H0;D3;+0:5](\[NH2;D1;+0:6])-[NH;D2;+0:7]-[CH2;D2;+0:8]-[CH2;D2;+0:9]-[CH2;D2;+0:10]-[C@@H;D3;+0:11]1-[NH;D2;+0:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C@H;D3;+0:22](-[CH2;D2;+0:21]-[c;H0;D3;+0:20]2:[o;H0;D2;+0:25]:[n;H0;D2;+0:24]:[c;H0;D3;+0:23]3:[cH;D2;+0:15]:[cH;D2;+0:16]:[cH;D2;+0:17]:[c:18]:[c;H0;D3;+0:19]:2:3)-[N;H1;D2;+0]-[C;H0;D3;+0]-1=[O;H0;D1;+0]>>[NH2;D1;+0:1]-[C;H0;D3;+0:2](=[NH;D1;+0:3])-[NH;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[CH2;D2;+0:7]-[C@@H;D3;+0:8]1-[NH;D2;+0:9]-[C;H0;D3;+0:10](=[O;H0;D1;+0:11])-[C@H;D3;+0:12](-[CH2;D2;+0:13]-[c;H0;D3;+0:14]2:[o;H0;D2;+0:15]:[n;H0;D2;+0:16]:[c;H0;D3;+0:17]3:[c:18]:[cH;D2;+0:19]:[cH;D2;+0:20]:[cH;D2;+0:21]:[c;H0;D3;+0:22]:2:3)-[NH;D2;+0:23]-[C;H0;D3;+0:24]-1=[O;H0;D1;+0:25]	[NH2;D1;+0:1]-[C;H0;D3;+0:2](=[NH;D1;+0:3])-[NH;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[CH2;D2;+0:7]-[C@@H;D3;+0:8]1-[NH;D2;+0:9]-[C;H0;D3;+0:10](=[O;H0;D1;+0:11])-[C@H;D3;+0:12](-[CH2;D2;+0:13]-[c;H0;D3;+0:14]2:[o;H0;D2;+0:15]:[n;H0;D2;+0:16]:[c;H0;D3;+0:17]3:[c:18]:[cH;D2;+0:19]:[cH;D2;+0:20]:[cH;D2;+0:21]:[c;H0;D3;+0:22]:2:3)-[NH;D2;+0:23]-[C;H0;D3;+0:24]-1=[O;H0;D1;+0:25]>>[CH3;D1;+0:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])/[N;H0;D2;+0:4]=[C;H0;D3;+0:5](\[NH2;D1;+0:6])-[NH;D2;+0:7]-[CH2;D2;+0:8]-[CH2;D2;+0:9]-[CH2;D2;+0:10]-[C@@H;D3;+0:11]1-[NH;D2;+0:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C@H;D3;+0:22](-[CH2;D2;+0:21]-[c;H0;D3;+0:20]2:[o;H0;D2;+0:25]:[n;H0;D2;+0:24]:[c;H0;D3;+0:23]3:[cH;D2;+0:15]:[cH;D2;+0:16]:[cH;D2;+0:17]:[c:18]:[c;H0;D3;+0:19]:2:3)-[N;H1;D2;+0]-[C;H0;D3;+0]-1=[O;H0;D1;+0]		N	1	enzymes=AvaD; accessions=MITE0000145
mite_rdchiral_0099_MITE0000228	MITE_rdchiral	Acylation	[O;H0;D1;+0]=[C;H0;D3;+0](-[C;H2;D2;+0]-[O;H1;D1;+0])-[O;H0;D2;+0:1]-[c:2]>>[OH;D1;+0:1]-[c:2]	[OH;D1;+0:1]-[c:2]>>[O;H0;D1;+0]=[C;H0;D3;+0](-[C;H2;D2;+0]-[O;H1;D1;+0])-[O;H0;D2;+0:1]-[c:2]		Y	1	enzymes=LlpCT; accessions=MITE0000228
mite_rdchiral_0108_MITE0000317	MITE_rdchiral	Acylation	[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1]=[O;D1;H0:2]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5]	O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5]>>[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1]=[O;D1;H0:2]		Y	1	enzymes=RoyL; accessions=MITE0000317
mite_rdchiral_0123_MITE0000035	MITE_rdchiral	Acylation	[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0](=[O;H0;D1;+0])-[C;H2;D2;+0]-[C;H2;D2;+0]-[C;H3;D1;+0]>>[C:1]-[NH2;D1;+0:2]	[C:1]-[NH2;D1;+0:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0](=[O;H0;D1;+0])-[C;H2;D2;+0]-[C;H2;D2;+0]-[C;H3;D1;+0]		N	1	enzymes=Tcp24/Orf2*/tAtf; accessions=MITE0000035
mite_rdchiral_0129_MITE0000228	MITE_rdchiral	Acylation	[C;H3;D1;+0]-[C;H2;D2;+0]-[C;H2;D2;+0]-[C;H0;D3;+0](=[O;H0;D1;+0])-[O;H0;D2;+0:1]-[c:2]>>[OH;D1;+0:1]-[c:2]	[OH;D1;+0:1]-[c:2]>>[C;H3;D1;+0]-[C;H2;D2;+0]-[C;H2;D2;+0]-[C;H0;D3;+0](=[O;H0;D1;+0])-[O;H0;D2;+0:1]-[c:2]		Y	1	enzymes=LlpCT; accessions=MITE0000228
mite_rdchiral_0059_MITE0000189	MITE_rdchiral	Amination	[C:3]=[C:2]-[CH2;D2;+0:1]-[N;H2;D1;+0]>>O=[CH;D2;+0:1]-[C:2]=[C:3]	O=[CH;D2;+0:1]-[C:2]=[C:3]>>[C:3]=[C:2]-[CH2;D2;+0:1]-[N;H2;D1;+0]		Y	1	enzymes=BorJ; accessions=MITE0000189
mite_rdchiral_0067_MITE0000100	MITE_rdchiral	Amination	[#8:3]-[C:2]-[CH2;D2;+0:1]-[N;H2;D1;+0]>>O=[CH;D2;+0:1]-[C:2]-[#8:3]	O=[CH;D2;+0:1]-[C:2]-[#8:3]>>[#8:3]-[C:2]-[CH2;D2;+0:1]-[N;H2;D1;+0]		Y	1	enzymes=PumG; accessions=MITE0000100
mite_rdchiral_0074_MITE0000338	MITE_rdchiral	Amination	[C:4]=[C:3]-[C:2]-[CH2;D2;+0:1]-[N;H2;D1;+0]>>O=[CH;D2;+0:1]-[C:2]/[C:3]=[C:4]	O=[CH;D2;+0:1]-[C:2]/[C:3]=[C:4]>>[C:4]=[C:3]-[C:2]-[CH2;D2;+0:1]-[N;H2;D1;+0]		Y	1	enzymes=SCO6279; accessions=MITE0000338
mite_rdchiral_0183_MITE0000131	MITE_rdchiral	Amination	[#16;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:5])-[O;H0;D2;+0:4]-[N;H2;D1;+0]>>[#16;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[OH;D1;+0:5]	[#16;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[OH;D1;+0:5]>>[#16;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:5])-[O;H0;D2;+0:4]-[N;H2;D1;+0]		Y	1	enzymes=ThnA; accessions=MITE0000131
mite_rdchiral_0122_MITE0000216	MITE_rdchiral	Biaryl bond formation	[#7;a:1]:[c;H0;D3;+0:2](:[#7;a:3])-[O;H0;D2;+0:4]-[c:5]>>[#7;a:1]:[cH;D2;+0:2]:[#7;a:3].[OH;D1;+0:4]-[c:5]	[#7;a:1]:[cH;D2;+0:2]:[#7;a:3].[OH;D1;+0:4]-[c:5]>>[#7;a:1]:[c;H0;D3;+0:2](:[#7;a:3])-[O;H0;D2;+0:4]-[c:5]		Y	1	enzymes=ShyB; accessions=MITE0000216
mite_rdchiral_0164_MITE0000152	MITE_rdchiral	Biaryl bond formation	[#7;a:1]:[c:2]:[c;H0;D3;+0:3](:[c:4])-[n;H0;D3;+0:6](:[c:5]):[c:7]>>[#7;a:1]:[c:2]:[cH;D2;+0:3]:[c:4].[c:5]:[nH;D2;+0:6]:[c:7]	[#7;a:1]:[c:2]:[cH;D2;+0:3]:[c:4].[c:5]:[nH;D2;+0:6]:[c:7]>>[#7;a:1]:[c:2]:[c;H0;D3;+0:3](:[c:4])-[n;H0;D3;+0:6](:[c:5]):[c:7]		Y	1	enzymes=ScnB; accessions=MITE0000152
mite_rdchiral_0170_MITE0000153	MITE_rdchiral	Biaryl bond formation	[#7;a:1]:[c;H0;D3;+0:2](:[#7;a:3])-[c;H0;D3;+0:5](:[#7;a:4]):[#7;a:6]>>[#7;a:1]:[cH;D2;+0:2]:[#7;a:3].[#7;a:4]:[cH;D2;+0:5]:[#7;a:6]	[#7;a:1]:[cH;D2;+0:2]:[#7;a:3].[#7;a:4]:[cH;D2;+0:5]:[#7;a:6]>>[#7;a:1]:[c;H0;D3;+0:2](:[#7;a:3])-[c;H0;D3;+0:5](:[#7;a:4]):[#7;a:6]		N	1	enzymes=SgrB; accessions=MITE0000153
mite_rdchiral_0186_MITE0000173	MITE_rdchiral	Biaryl bond formation	[#7;a:1]:[c:2]:[c:3]:[c;H0;D3;+0:4](:[c:5])-[n;H0;D3;+0:7](:[c:6]):[c:8]>>[#7;a:1]:[c:2]:[c:3]:[cH;D2;+0:4]:[c:5].[c:6]:[nH;D2;+0:7]:[c:8]	[#7;a:1]:[c:2]:[c:3]:[cH;D2;+0:4]:[c:5].[c:6]:[nH;D2;+0:7]:[c:8]>>[#7;a:1]:[c:2]:[c:3]:[c;H0;D3;+0:4](:[c:5])-[n;H0;D3;+0:7](:[c:6]):[c:8]		Y	1	enzymes=ScaB/EmbB; accessions=MITE0000173
